"cohort","domain","timepoint","model","N","MAE","MAE_SE_boot","RMSE","RMSE_SE_boot","wMAE_test","wMAE_SE_boot","nRMSE","nRMSE_SE_boot","RAE","RAE_SE_boot","R2","Pearson","Spearman","AE_mean","AE_sd","AE_median","AE_Q1","AE_Q3","AE_IQR","AE_min","AE_max","AE_lower_whisker","AE_upper_whisker","AE_n","wAE_mean","wAE_sd","wAE_median","wAE_Q1","wAE_Q3","wAE_IQR","wAE_min","wAE_max","wAE_lower_whisker","wAE_upper_whisker","wAE_n","PAD_mean","PAD_sd","PAD_median","PAD_Q1","PAD_Q3","PAD_IQR","PAD_min","PAD_max","PAD_lower_whisker","PAD_upper_whisker","PAD_n","predage_mean","predage_sd","predage_median","predage_Q1","predage_Q3","predage_IQR","predage_min","predage_max","predage_lower_whisker","predage_upper_whisker","predage_n","PAR_mean","PAR_sd","PAR_median","PAR_Q1","PAR_Q3","PAR_IQR","PAR_min","PAR_max","PAR_lower_whisker","PAR_upper_whisker","PAR_n","pearson_z","pearson_var","pearson_se","mean_age","min_age","max_age","age_range","overlap_age","n_male","n_female","processing","ML_model_brain","training_age_min_brain","training_age_max_brain"
"TAG","brain","w2","DevBrainAge",132,0.97962,0.06673,1.2344,0.07499,0.31298,0.02268,0.39438,0.02644,1.37941,0.13302,0.23251,0.48219,0.50353,0.979621393712121,0.753917809993244,0.808250234999999,0.36023367,1.50120773,1.14097406,0.083695220000001,3.59302246,0.083695220000001,3.15650406,132,0.312978081058186,0.240868309901995,0.258226912140575,0.115090629392971,0.479619083067093,0.364528453674121,0.0267396869009588,1.14793049840256,0.0267396869009588,1.00846775079872,132,0.0643657652272727,1.23741714715972,0.0169066799999991,-0.830174120000001,0.708289414999999,1.538463535,-3.59302246,3.31801964,-2.45239624,2.60977264,132,13.2778506137121,1.40046394811761,13.228717805,12.11515379,14.25939512,2.14424133,10.52697754,16.39977264,10.52697754,16.39977264,132,-3.68940857452302e-17,1.22689972740752,-0.0137309005080417,-0.906977748597187,0.656226892504335,1.56320464110152,-3.48287611587165,3.11437670242221,-2.34802515872514,2.65639109273999,132,0.525833811579924,0.00775193798449612,0.0880450906325624,13.21348485,11.52,14.65,3.13,NA,0,132,"extracted","XGBoost",9,19
"TAG","brain","w2","DBN",132,22.22424,0.42999,22.7824,0.443,7.1004,0.19491,7.27872,0.20568,31.29396,2.24696,0.23913,0.48901,0.48523,22.224243527803,5.03115511291429,21.298549115,18.989317705,25.437506025,6.44818832,11.90477036,36.29802338,11.90477036,34.1316478,132,7.1003972932278,1.60739779965313,6.80464827955271,6.06687466613418,8.12699873003195,2.06012406389776,3.80344100958466,11.5968125814696,3.80344100958466,10.9046798083067,132,22.224243527803,5.03115511291429,21.298549115,18.989317705,25.437506025,6.44818832,11.90477036,36.29802338,11.90477036,34.1316478,132,35.4377283762879,5.3869435293649,34.642482755,31.828689575,38.891874315,7.06318474,24.65938759,50.13802338,24.65938759,48.4116478,132,6.00549439723107e-17,4.69890489165039,-0.371890327686635,-3.17178159935079,2.60249669376682,5.7742782931176,-12.0534789885101,12.7267736397935,-11.755018230901,10.0942691976606,132,0.534758364018792,0.00775193798449612,0.0880450906325624,13.21348485,11.52,14.65,3.13,NA,0,132,"minimal","Convolutional Neural Network built using the inception-resnetv2 framework ",3,95
"TAG","brain","w2","DunedinPACNI",132,13.84989,0.0762,13.8809,0.08279,4.42488,0.09818,4.43479,0.09738,19.50203,1.24839,0.00042,0.02048,-0.01478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.636401798939394,0.42654642000942,-0.670094711,-0.9341622585,-0.3856397405,0.548522518,-1.886633546,0.775859106,-1.517903168,0.429968681,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0204828640323226,0.00775193798449612,0.0880450906325624,13.21348485,11.52,14.65,3.13,NA,0,132,"extracted","EN",45,45
"TAG","brain","w3","Centile2",113,2.22837,0.13954,2.67188,0.15563,0.64033,0.06522,0.76778,0.072,3.54824,0.30135,0.16306,0.40381,0.40296,2.22836514041593,1.48079230492348,2.0075017,0.98462732,3.27599699,2.29136967,0.0221018500000003,6.466281534,0.0221018500000003,6.466281534,113,0.640334810464348,0.425515030150427,0.576868304597701,0.282938885057471,0.9413784454023,0.658439560344828,0.00635110632183917,1.85812687758621,0.00635110632183917,1.85812687758621,113,-1.08290399776106,2.45347537761636,-1.42208066,-2.70274818,0.717049859999999,3.41979804,-6.466281534,5.85794233,-6.466281534,4.60178543,113,13.8709013119735,2.65841522644564,13.56029288,11.87923816,15.83460586,3.9553677,7.743718466,21.97794233,7.743718466,19.89178543,113,-5.35672630883767e-17,2.43203688395708,-0.39105649673232,-1.49735509247473,1.63807458890802,3.13542968138275,-5.46859700759866,6.43752196701495,-5.46859700759866,5.9386480177294,113,0.428192919792258,0.00909090909090909,0.0953462589245592,14.95380531,13.24,16.72,3.48,NA,0,113,"extracted","Support Vector Regression (SVR) with Radial Basis Function (RBF) Kernel",5,40
"TAG","brain","w3","ENIGMA",113,5.98417,0.37445,7.14453,0.38752,1.71959,0.16991,2.05302,0.18718,9.52864,0.78931,0.09539,0.30885,0.28113,5.98417320869912,3.92044982746038,5.66138967,2.74213362,8.63538746,5.89325384,0.00809098999999946,18.31086458,0.00809098999999946,16.13233059,113,1.71959000249975,1.12656604237367,1.62683611206897,0.787969431034483,2.48143317816092,1.69346374712644,0.00232499712643663,5.2617426954023,0.00232499712643663,4.63572718103448,113,0.182092028115044,7.17401821615749,-0.356721370000001,-5.737740013,5.41868188,11.156421893,-11.62213072,18.31086458,-11.62213072,18.31086458,113,15.1358973378496,7.37007399211962,14.75190901,8.771774412,20.46878609,11.697011678,2.166162522,34.43086458,2.166162522,34.43086458,113,-4.30303531253362e-17,7.00974900876758,0.0223622678835233,-6.20273903904912,4.95976458118205,11.1625036202312,-12.4229162848773,18.4821644450549,-12.4229162848773,18.4821644450549,113,0.319273645571194,0.00909090909090909,0.0953462589245592,14.95380531,13.24,16.72,3.48,NA,0,113,"extracted","ridge regression",18,75
"TAG","brain","w3","Pyment",113,1.68161,0.11566,2.07395,0.11789,0.48322,0.05212,0.59596,0.05694,2.67765,0.26645,0.28654,0.5353,0.56792,1.68161405752212,1.21926304212388,1.422392,0.580539999999999,2.537308,1.956768,0.0313739999999996,5.48864,0.0313739999999996,4.796907,113,0.48322243032245,0.350362943139045,0.408733333333334,0.16682183908046,0.729111494252874,0.562289655172414,0.00901551724137919,1.57719540229885,0.00901551724137919,1.37842155172414,113,-0.515113845132743,2.01791111014397,-0.56409,-2.103827,0.666625,2.770452,-4.796907,5.48864,-4.796907,3.735713,113,14.4386914646018,2.31732779197056,14.422698,12.540214,16.00366,3.463446,10.343093,20.84864,10.343093,20.84864,113,1.02911894529755e-16,1.95736291872614,-0.0742297309386692,-1.53735265638637,1.21056539497207,2.74791805135844,-4.40361526528828,5.73799173161921,-4.40361526528828,3.7932001100153,113,0.59754452228696,0.00909090909090909,0.0953462589245592,14.95380531,13.24,16.72,3.48,NA,0,113,"minimal","Simple Fully Convolutional Network with a regression variant (SFCN-reg) [family of Convolutional Neural Networks (CNNs)]",3,85
"TAG","brain","w3","Kaufmann",113,2.14439,0.18385,2.89571,0.28097,0.6162,0.06938,0.8321,0.10127,3.41452,0.36699,0.188,0.43359,0.48585,2.14438631460177,1.95462456709135,1.60503845,0.858023300000001,2.8805238,2.0225005,0.0956666599999991,10.9361235,0.0956666599999991,5.89217674,113,0.616202963966026,0.561673726175675,0.461217945402299,0.24655841954023,0.827736724137931,0.581178304597701,0.0274904195402296,3.14256422413793,0.0274904195402296,1.69315423563218,113,0.862073659557522,2.77672477788035,0.490869330000001,-1.05325569,2.43837204,3.49162773,-5.49848778,10.9361235,-5.49848778,6.84770966,113,15.815878969292,3.01838377648388,15.41004848,13.61670971,17.56225014,3.94554043,8.97500515,26.2961235,8.97500515,22.84770966,113,2.40923155319567e-18,2.71989837171042,-0.231018862082837,-1.76343030013685,1.49294627697606,3.25637657711291,-6.81982895901288,9.77130132481702,-5.4903292893769,5.27144443527332,113,0.464309434579511,0.00909090909090909,0.0953462589245592,14.95380531,13.24,16.72,3.48,NA,0,113,"extracted","gradient tree boosting using the xgboost package in R (sex-specific)",3,96
"TAG","brain","w3","PyBrainAge",112,10.50514,0.47286,11.60128,0.53204,3.01872,0.26861,3.3337,0.31175,16.69376,1.34613,0.0309,0.17577,0.23183,10.5051438454687,4.94469078632175,9.856866075,7.31764351,13.12974991,5.8121064,0.57225311,27.5136372225,0.57225311,21.76134613,112,3.01871949582435,1.42088815698901,2.83243278017241,2.10277112356322,3.7729166408046,1.67014551724138,0.164440548850575,7.90621759267241,0.164440548850575,6.25326038218391,112,10.4652512517187,5.02932073270372,9.856866075,7.31764351,13.12974991,5.8121064,-2.23398525,27.5136372225,0.57225311,21.76134613,112,25.414715537433,5.10671181035081,24.490392685,22.606340405,27.703299525,5.09695912,12.33601475,42.8736372225,15.16913319,34.76449585,112,-1.00021522562404e-16,5.02720651195628,-0.712039135554204,-3.28001994468851,2.66619597025318,5.94621591494169,-12.6256376224359,16.9687606420889,-10.0715403641673,11.5236866659457,112,0.177614456962387,0.0091743119266055,0.0957826285221151,14.95380531,13.24,16.72,3.48,NA,0,113,"extracted","Extra Trees regression (ensemble learning family)",2,100
"TAG","brain","w3","DevBrainAge",113,1.20318,0.07547,1.44026,0.07856,0.34574,0.0337,0.41387,0.03874,1.91584,0.167,0.16681,0.40842,0.39349,1.20318368274336,0.795175607382915,1.06326187,0.547963709999999,1.81240364,1.26443993,0.0210554500000004,3.88376438,0.0210554500000004,2.96314476,113,0.345742437569932,0.228498737753711,0.305535020114942,0.157460836206896,0.520805643678162,0.363344807471265,0.00605041666666679,1.11602424712644,0.00605041666666679,0.851478379310345,113,-0.574659983097345,1.32653611380774,-0.59476589,-1.65415642,0.464083480000001,2.1182399,-3.88376438,2.49742233,-3.88376438,2.49742233,113,14.3791453266372,1.44257053195826,14.46713829,13.33003521,15.31597328,1.98593807,11.73623562,17.84334373,11.73623562,17.84334373,113,1.53978296589296e-17,1.31676931057454,0.0394400298669273,-0.971280861611291,1.01053298722495,1.98181384883624,-3.16635451315986,3.00269843628878,-3.16635451315986,3.00269843628878,113,0.4337134320261,0.00909090909090909,0.0953462589245592,14.95380531,13.24,16.72,3.48,NA,0,113,"extracted","XGBoost",9,19
"TAG","brain","w3","DBN",113,23.4384,0.47401,23.97198,0.46503,6.73517,0.53134,6.8885,0.55134,37.32114,2.57418,0.10531,0.32451,0.31924,23.438400629292,5.05201253758121,23.08919098,20.00821381,26.36862579,6.36041198,11.67739372,37.34618866,11.67739372,33.86130737,113,6.73517259462415,1.45172774068426,6.63482499425288,5.7494867270115,7.57719131896552,1.82770459195402,3.35557290804598,10.731663408046,3.35557290804598,9.73026073850575,113,23.438400629292,5.05201253758121,23.08919098,20.00821381,26.36862579,6.36041198,11.67739372,37.34618866,11.67739372,33.86130737,113,38.3922059390265,5.24531186878266,37.60870361,35.02036285,41.92932892,6.90896607000001,27.37739372,51.97618866,27.37739372,51.97618866,113,9.11881190026746e-18,4.96144417946295,-0.145083799886654,-3.24942940452334,2.75665261144361,6.00608201596696,-12.7086768769024,14.3190219504763,-10.1963938262573,10.208581232331,113,0.336679752630412,0.00909090909090909,0.0953462589245592,14.95380531,13.24,16.72,3.48,NA,0,113,"minimal","Convolutional Neural Network built using the inception-resnetv2 framework ",3,95
"TAG","brain","w3","DunedinPACNI",113,15.59434,0.08249,15.61618,0.07623,4.48113,0.33148,4.48741,0.31343,24.83099,1.54383,0.0119,0.10909,0.10265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.640539381256637,0.445298263645112,-0.665544082,-0.950784512,-0.342183112,0.6086014,-1.660674631,0.430017603,-1.660674631,0.430017603,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.109525862991287,0.00909090909090909,0.0953462589245592,14.95380531,13.24,16.72,3.48,NA,0,113,"extracted","EN",45,45
"TAG","brain","w4","Centile2",92,2.42224,0.17115,2.92801,0.18114,0.6086,0.0903,0.73568,0.11029,3.41885,0.36402,0.09808,0.31317,0.30014,2.42224373282609,1.65400774505215,2.27979223,1.012201245,3.641575945,2.6293747,0.0552636700000004,7.23421663,0.0552636700000004,7.23421663,92,0.608603952971379,0.415579835440238,0.572812118090452,0.254321920854272,0.91496883040201,0.660646909547738,0.0138853442211056,1.81764236934673,0.0138853442211056,1.81764236934673,92,-1.02862604543478,2.75640763622564,-1.056696315,-3.150938555,0.948527024999999,4.09946558,-7.23421663,5.73883985,-7.23421663,5.73883985,92,15.6392000415217,2.90208108065201,15.548109005,13.472865405,17.755206355,4.28234095,8.99578337,23.26883985,8.99578337,23.26883985,92,5.79765326930401e-17,2.75609666273028,-0.0237438648738237,-2.06824238664703,1.99685738120462,4.06509976785165,-6.18469301642912,6.72631408052526,-6.18469301642912,6.72631408052526,92,0.324056265749798,0.0112359550561798,0.105999788000636,16.66782609,15.04,19.02,3.98,NA,0,92,"extracted","Support Vector Regression (SVR) with Radial Basis Function (RBF) Kernel",5,40
"TAG","brain","w4","ENIGMA",92,5.78144,0.44367,7.18212,0.5467,1.45262,0.22012,1.80455,0.26385,8.16015,0.85178,0.05922,0.24336,0.2573,5.78144027927174,4.28454970521765,4.849321075,2.53346507,7.86844512,5.33498005,0.25371947,18.95507789,0.25371947,15.56798665,92,1.45262318574667,1.07652002643659,1.21842238065327,0.636549012562814,1.97699626130653,1.34044724874372,0.0637486105527638,4.76258238442211,0.0637486105527638,3.91155443467337,92,2.60777854703261,6.72863183134481,2.53346507,-2.298144195,6.89272233,9.190866525,-11.413835143,18.95507789,-11.413835143,18.95507789,92,19.2756046339891,6.8869216066168,18.892993305,14.1599489,23.87075435,9.71080545,5.272711057,36.48507789,5.272711057,36.48507789,92,1.20598635999056e-16,6.67987551034924,0.310357799412591,-5.15483743536501,4.00820294814108,9.16304038350609,-15.1514839345253,15.7679496050421,-15.1514839345253,15.7679496050421,92,0.248342546282683,0.0112359550561798,0.105999788000636,16.66782609,15.04,19.02,3.98,NA,0,92,"extracted","ridge regression",18,75
